1,UESTC_Vici,×(1),√(1),√(2),√(1),√(1),√(3),√(2),,√(2),√(0),√(2),√(0),√(0)
2,SET,,√(1),√(1),√(0),√(0),√(6),√(0),,√(6),√(0),√(1),√(0),√(7)
3,UESTC_moyu,,√(1),√(1),√(1),√(1),√(5),√(2),,√(1),√(0),√(3),√(1),√(1)
4,UESTC_'or 1=1#,,√(4),√(1),√(0),√(0),√(1),√(1),,√(2),√(1),√(1),√(2),√(6)
5,三次元通关后爱红茶gal双马尾的我决定与包↑包↓二次元重生好不好啊爱汤姐的乐警官(赞赏),,√(3),√(1),√(2),√(1),√(2),√(0),,√(1),√(0),√(5),√(0),√(9)
6,崔翱翔,,√(1),√(1),√(0),√(0),√(4),√(1),,×(10),√(0),√(7),√(0),√(6)
7,Je vole,,√(3),√(1),,√(0),√(0),√(0),,√(1),√(0),,√(0),√(1)
8,UESTC_continue,×(2),√(3),√(11),×(1),√(1),√(8),√(0),×(1),√(8),√(0),×(1),√(0),√(5)
9,UESTC_Team,×(1),√(3),√(1),,√(1),√(9),√(0),,√(17),√(0),,√(0),√(8)
10,罗老大的大米,,√(0),√(4),√(3),√(0),√(0),√(1),,,√(0),,√(0),√(0)
11,La Vie En Rose,,√(2),√(0),,√(0),×(12),√(6),,√(1),√(0),√(0),√(0),√(1)
12,曲水流觞,,√(0),√(0),√(1),√(0),√(7),√(0),,,√(0),,√(0),√(4)
13,Gao,,√(1),√(1),,√(1),√(11),√(0),,√(3),√(0),,√(0),√(14)
14,毕加思索,,√(5),√(4),×(2),√(2),√(2),√(4),,,√(0),,√(1),√(3)
15,UESTC_Main,,√(3),√(7),,√(2),√(20),√(0),,,√(0),,√(1),√(7)
16,sorry真的可以为所欲为,,√(3),√(5),,√(2),√(2),√(0),,,√(0),,√(0),×(8)
17,772002,,√(0),√(1),,√(2),√(1),√(0),,,√(0),,√(2),×(2)
18,My all,,√(2),√(3),√(3),√(1),×(3),√(0),,,√(1),,√(0),
19,头条猛男,,√(2),√(4),,√(0),√(7),√(0),,,√(2),,√(0),×(30)
20,在AC的边缘试探,,√(1),√(1),,√(0),,√(0),,×(9),√(0),,√(0),√(3)
21,双榆树租房队,,√(3),√(2),,√(0),√(11),√(0),,,√(0),,√(0),×(2)
22,听说你们都没有女朋友？,,√(0),√(0),,√(1),√(4),√(2),,,√(0),,√(1),
23,GiveMeFive,,√(0),√(1),,√(1),,√(0),,,√(1),,√(7),√(25)
24,ELPSYCONGROO,,√(0),,,√(0),√(2),√(4),,,√(0),,√(0),√(6)
25,sturdy,,√(10),×(7),,√(1),√(6),√(0),,,√(1),×(4),√(4),√(4)
26,UESTC_S12K,×(2),√(3),√(1),,√(0),,√(0),,,√(0),,√(0),√(5)
27,成都地下说唱皇帝,,√(0),√(1),,√(0),×(16),√(0),,,√(0),,√(0),
28,UESTC_CEREPETLE,,√(8),√(1),,√(2),,√(7),,×(4),√(0),,√(0),×(4)
29,小伙子，你吃不吃红烧大肉,,√(2),√(1),,√(0),,√(1),,,√(0),,√(1),
30,我女朋友会吃醋的,,√(0),√(5),,√(0),,√(1),,,√(1),,√(3),
31,你的膜法也救不了你！,,√(7),√(2),,√(3),,√(15),,,√(0),,√(0),×(3)
32,脆煎培根欧姆蛋佐酸甜汁,,√(1),,,√(4),,√(5),,√(4),√(1),,√(0),
33,许愿时光腰带,,√(6),√(5),,√(0),×(4),√(0),,,√(1),×(1),√(3),×(1)
34,伊莉雅说什么都队,,√(3),×(6),,√(2),,√(1),,,√(1),,√(3),√(25)
35,NFdMTEs9PT0=,,√(2),×(6),,√(0),√(9),√(1),,,√(0),,√(5),
36,Rinne,,√(2),√(3),,√(2),,√(1),,×(1),√(1),,√(14),
37,布偶猫团子,,√(6),√(6),,√(0),×(3),√(12),,×(3),√(0),,√(6),
38,拿奖是不可能的，这辈子都不可能的,,√(6),√(4),,√(3),×(18),√(0),,,√(1),,√(2),
39,网易内测人员,,√(6),√(10),,√(2),,√(15),,×(1),√(0),,√(1),
40,Wish,,√(2),,,√(2),,√(0),,,√(0),,√(1),×(4)
41,瓦还要交一百次数独哼唧,,√(0),,,√(0),,√(3),,,√(0),,√(0),
42,多面体,,×(8),√(2),,√(0),,√(0),,,√(0),,√(0),×(3)
43,MJ,,√(4),×(1),,√(4),,√(0),,,√(0),,√(0),×(37)
44,wmj8d,,√(1),,,√(0),,√(1),,,√(2),,√(0),
45,run_time_error,,√(3),,,√(1),,√(2),,,√(0),,√(0),×(4)
46,seafood_party,,√(13),,,√(3),×(4),√(4),,×(7),√(2),,√(0),×(4)
47,乌拉乌拉,×(1),×(22),,,√(3),×(24),√(0),,×(1),√(1),,√(2),√(4)
48,2_133,,√(3),,,√(0),,√(1),,,√(0),,√(0),×(6)
49,三只咸鱼,,√(2),×(5),,√(12),,√(2),,,√(0),,√(3),
50,红鲤鱼与绿鲤鱼与驴,,×(10),√(1),,√(0),×(3),√(16),,,√(2),,√(5),×(10)
51,摸鱼小分队,,√(2),,,√(3),,√(0),,,√(0),,√(2),×(3)
52,你说对就队,,√(16),×(5),,√(1),×(2),√(1),,,√(0),,√(0),×(4)
53,清水河咸鱼,,√(8),,,√(3),,√(0),,,√(0),,√(4),
54,Heaven's Feel,,√(1),,,√(2),,√(0),,,√(0),,√(2),×(2)
55,NRNL,,√(6),,,√(4),×(1),√(10),,×(3),√(0),,√(2),×(1)
56,1906ACMBestACM,,√(20),×(13),,√(3),,√(7),,,√(5),,√(1),×(8)
57,Quantum_Banana,×(1),√(5),,,√(8),,√(0),,,√(9),,√(2),×(6)
58,yyy,,√(12),,,√(12),×(16),√(10),,,√(6),,√(17),
59,uestc-gakki,,√(36),,,√(1),,√(9),,×(1),√(2),,√(3),×(2)
60,英不了,×(1),×(18),,,√(1),,√(0),,,√(0),,√(0),×(14)
61,新垣结衣的男朋友,,×(2),,,√(0),,√(1),,×(3),√(3),,√(4),
62,我也很绝望啊,,,,,√(3),×(3),√(0),,,√(0),,√(1),
63,Blanc&Rom&Ram,,×(7),,,√(9),,√(0),,,√(5),,√(1),
64,社区老年秧歌队,,,,,√(1),,√(4),,,√(1),,√(0),
65,回家看看,,×(4),,,√(1),,√(0),,,√(1),,√(0),
66,Trekkerz,,×(3),×(9),,√(1),,√(8),,,√(2),,√(0),
67,小白菜,,×(11),,,√(2),,√(9),,,√(6),,√(1),
68,爸爸去哪儿,,×(1),,,√(0),,√(0),,,√(1),,√(0),
69,智商感人今天鸽了吗,,×(1),,,√(2),×(2),√(0),,,√(1),,√(3),
70,0xACCE97ED,,,,,√(0),,√(0),,,√(2),,√(6),
71,李言荣带着服务器跑了,,×(4),,,√(1),,√(0),,×(1),√(0),,√(7),
72,不会起名,,×(18),×(2),,√(4),,√(1),,,√(6),,√(4),×(6)
73,18uestc_acm,,×(17),×(1),,√(6),×(9),√(4),,,√(1),,√(3),×(4)
74,薄情姐妹花,,×(10),,,√(3),,√(2),,×(1),√(1),,√(2),
75,Three_Salty_Fishes,,×(11),,,√(0),,√(12),,,√(2),,√(2),×(3)
76,UESTC_3cn,,,,,√(11),×(6),√(4),,,√(3),,√(8),
77,我偷电瓶车养你,,×(3),,,√(15),,√(6),,,√(8),,√(1),
78,正哥帅的一批,,×(8),,,√(5),,√(5),,,√(4),,√(2),
79,取个什么名字,,×(2),,,√(14),,√(20),,,√(5),,√(0),×(3)
80,TeamNotFound,,×(3),√(2),,×(3),,√(1),,,√(6),,√(5),
81,生鱼忧患死鱼安乐,,,×(7),,√(10),,√(14),,×(1),√(0),,√(11),×(1)
82,S_Team,,×(4),,,√(2),,√(2),,,,,√(2),
83,赛艇高手,,×(1),,,√(2),,√(4),,,×(18),,√(0),
84,羊羊羊,,×(6),,,×(14),×(1),√(1),,,√(1),,√(1),×(4)
85,幻想_,,×(7),,,√(5),×(2),√(4),,,×(11),,√(0),
86,Amplifier,,×(2),,,√(1),×(4),√(0),,,×(3),,√(3),×(4)
87,堆对怼怼对队,,×(8),×(1),,√(2),×(3),√(4),,,×(20),×(1),√(5),×(1)
88,维尼家的包子,,×(5),,,√(1),,√(3),,,×(13),×(5),√(2),×(1)
89,川江号子,,×(5),×(2),,√(2),,√(5),,,×(1),,√(5),
90,NebulaArcanum,,×(3),,,√(0),,√(0),,,,,√(0),
91,Enemy Legendary,,×(3),,,√(3),,√(11),,,×(11),,√(3),×(3)
92,给你小心心,,×(5),,,×(12),×(7),√(0),,×(9),√(7),,√(1),
93,寝室一哥的AK人生,,×(1),,,√(0),,√(0),,,√(2),,×(3),
94,乱搞小分队,,,,,×(3),×(5),√(2),,,√(2),,√(3),
95,名字随意反正都队,,×(3),,,×(1),,√(0),,,√(2),,√(0),
96,啦啦啦德玛西亚,,×(9),,,√(6),,√(2),,,×(4),,√(0),
97,coding team,,×(12),,,×(15),,√(9),,,√(1),,√(0),
98,听说你们都没女朋友,,×(12),,,×(4),×(27),√(7),,×(15),√(12),,√(2),
99,薛定谔のAC,,√(4),,,√(5),,×(12),,,,,√(2),
100,Roads Untraveled,,×(4),,,√(2),,√(6),,,×(14),,√(2),×(2)
101,过一道题就满足,,×(4),,,√(3),,√(9),,,×(4),,√(3),
102,对不队,,×(4),,,√(0),×(2),√(0),,,√(1),,×(9),
103,funky man,,×(3),,,√(4),×(5),√(14),,,,,√(0),
104,wublub,,×(3),×(2),,×(3),×(2),√(0),,,√(7),,√(6),
105,学源QB17-624,,×(9),,,√(9),,√(10),,,×(3),,√(3),
106,女装大姥说什么都队,,×(6),,,√(12),,√(2),,,,,√(3),
107,烫烫烫烫烫,,×(16),,,√(2),,√(24),,×(2),×(29),,√(4),×(10)
108,Gakki不可能和星野源在一起的队不队,,×(10),,,√(3),,×(10),,,√(7),,√(1),
109,"Winer Winer, Chicken Dinner!",,×(3),,,√(4),,√(8),,,,,√(4),
110,锋芒,,,×(3),,√(22),,√(3),,,×(4),,√(0),
111,云深不知处,,×(4),,,×(18),×(17),√(1),,,√(23),,√(2),×(3)
112,周新宇NB队！,,×(30),,,√(16),,×(2),,,√(9),,√(0),
113,魔仙树下魔仙堡,,,,,√(1),×(2),√(1),,,,,√(0),
114,听风就是雨,,×(4),,,√(12),,√(8),,,×(1),,√(3),
115,只求不爆零,,,,,×(2),,√(5),,,,,√(0),
116,选择题全队,,×(5),,,√(0),×(3),×(4),,,,,√(7),
117,划水水,,,,,×(7),,√(1),,,×(3),,√(0),
118,秃鸡,,×(12),,,√(2),,,,,×(1),,√(1),
119,菜鸡互啄,,×(1),,,√(8),×(2),×(12),,,,,√(1),
120,ngu,,,,,×(11),,√(0),,,×(4),,√(0),
121,来张ssr,,×(11),,,×(9),,√(0),,,,,√(4),
122,浑水摸鱼,,,,,×(15),,√(1),,,,,√(4),
123,二战三巨头,,×(1),,,√(2),,×(2),,,,,√(0),
124,人固有一死,,,,,√(4),,,,,,,√(3),
125,假期长没作业,,×(13),,,√(4),,×(12),,,,,√(1),
126,Casual,,×(6),,,√(6),,×(2),,,×(4),,√(0),
127,Hanoi Knight,,,×(2),,×(2),,√(2),,,×(9),×(2),√(5),
128,一蒙就队,,×(3),,,×(13),×(2),√(1),,,×(1),,√(8),
129,pickz,,×(6),,,,,√(1),,,×(1),,√(2),
130,陈独秀不一定队,,×(10),,,×(5),,√(0),,,×(4),,√(1),
131,逼强迫症患者把,,,,,×(11),,√(1),,,×(1),,√(0),
132,没什么对不队,×(1),×(3),,,×(6),,√(6),,×(3),×(1),,√(2),
133,WaterJuicy,,×(2),,,×(5),,√(1),,,×(1),,√(0),
134,UESTC-Group,,×(2),,,×(3),,√(3),,,√(2),,×(2),
135,我们做的都不队,,,,,√(17),,×(4),,,×(3),,√(2),
136,UESTC_BLACK FORCE,,×(5),,,×(9),×(18),√(7),,,×(2),,√(12),
137,我还要去网吧偷耳机,,,,,,,√(3),,,×(2),,√(0),
138,Galaxy,,,,,,,,,,√(12),,√(2),
139,夜はsinのcircle,,×(12),,,,,√(0),×(1),,×(1),,√(3),×(5)
140,爽到还行,,×(2),,,×(7),×(2),√(0),,,,,√(21),
141,我说的都队,,×(8),,,√(24),,×(4),,,,,√(3),
142,牛顿―莱布尼兹―格林―高斯―奥斯特洛格拉德斯基―斯托克斯―庞加莱定理,,×(7),×(12),,×(6),×(13),×(23),,×(1),×(20),,√(1),
143,树上的鸟儿成双队,,,,,×(9),,×(4),,,,,√(0),×(10)
144,ALB战队,,×(7),,,,,,,,,,√(0),
145,打破僵局,,,,,×(3),,×(8),,,,,√(0),
146,NAMELESS,×(1),×(5),×(1),,×(4),×(3),√(0),,×(1),×(7),,×(4),
147,Spicy Chicken,,,,,×(12),,,,,,,√(2),×(2)
148,偷自行车做ACM,,×(7),,,,,×(14),,,,,√(1),×(10)
149,理不直气也壮,,×(8),,,×(8),,×(2),,,×(5),,√(0),
150,low chicken team,,,,,×(2),,,,,,,√(2),
151,打坐五小时,,×(11),,,,,×(3),,,×(1),,√(2),
152,GEFORCE,,×(10),,,,,×(9),,,,,√(5),
153,西凉铁骑,,×(1),,,,,,,,×(5),,√(0),
154,佩琪,,×(14),,,×(14),,×(1),,,,,√(4),
155,UESTCCVIRUS,,×(4),,,,,,,,×(5),,√(2),
156,好好好你说的都队,,×(2),,,×(5),,,,,,,√(1),
157,allforeass,,,,,×(10),,,,,,,√(6),
158,我们做的都队,,×(25),,,×(3),,,,,,,√(3),
159,渣,,×(5),,,×(1),,×(4),,,,,√(0),
160,huaQwQ,,×(1),,,×(26),,×(6),,,×(1),,√(4),
161,零轮游,,×(1),,,×(27),,√(1),,,,,×(36),
162,wow,,×(12),,,,,,,,,,√(1),
163,贪玩蓝月98级,,×(10),,,×(6),×(1),,,,,,√(1),
164,abcd,,×(8),,,×(5),,×(16),,,,,√(2),
165,我就先来试试,,×(2),,,×(5),,,,,×(1),,√(8),
166,划水水水水,,×(1),,,×(4),,,,,,,√(1),
167,one_time_travel,,,,,,×(4),×(5),,×(1),,,√(4),
168,蛤,,×(8),,,×(1),×(15),×(2),,,,,√(1),
169,supercalifragilisticexpialidocious,,×(1),,,,×(2),×(1),,,,,√(4),
170,Foreverac,,×(4),,,×(9),,×(4),,,×(3),,√(6),×(2)
171,have_fun,,,,,,,,,,,,√(10),
172,划水小队,,×(2),,,×(2),,,,,,,√(3),
173,东拼西凑混着玩,,×(6),,,×(11),,,,,,,√(1),
174,萌新小璨,,,,,,×(2),×(7),,,,,√(1),
175,GGmyfriend,,×(5),,,×(11),,,,,,,√(9),
176,uestc-team,,×(8),,,×(6),,,,,×(1),,√(11),
177,Gakki‘ boyfriend,,×(2),×(5),,×(9),×(4),×(5),,,,,√(4),
178,水B,,×(1),,,×(2),,×(7),,,,,√(0),
179,老年选手,,,,,×(5),,√(7),,,,,,
180,Cainiao_Team,,×(17),,,×(8),×(6),,,,×(5),,√(9),
181,少年先锋队,,,×(8),,×(15),×(3),×(29),,,×(2),,√(3),
182,Cosmos,,×(17),,,×(5),×(9),,,,,,√(9),
183,哲♂学,,,,,,,,,,,,√(1),×(5)
184,简单的做不,,×(19),,,×(15),,,,,×(1),,√(3),×(5)
185,forever we can make it,,,,,×(3),,,,,,,√(15),
186,亮亮小分队,,,,,√(0),,,,,,,,
187,ziseSunny,×(1),×(8),×(1),,×(6),,,,,×(11),,√(14),
188,菜鸡队,,×(3),,,×(39),×(2),×(4),,,,,√(8),
189,六氯环己烷,,,,,×(5),,,,,,,√(7),
190,LSF,,,,,,,,,,,,√(4),
191,瑟瑟发抖着坚强,,×(21),,,×(19),,,,,,,√(11),
192,锟斤拷,,,,,,,,,,,,√(1),
193,Just a team,,×(8),,,×(21),,,,,,,√(9),
194,．,×(1),×(6),,,,,×(4),,,,,√(2),
195,The Miracle Worker,,,,,,,,,,,,√(11),
196,互联网+ACM队,×(1),×(16),,,×(24),,×(9),,,×(33),,√(18),×(1)
197,希望这次不要再出bug,,,,,,,,,,,,√(4),
198,啦啦,,×(5),,,√(6),×(2),×(3),,,,,×(5),×(3)
199,迟暮,,×(1),,,,,×(4),,,,,√(6),
200,ZXJ,,,,,,,,,,×(1),,√(7),
201,划船不靠桨,,×(10),,,×(10),,×(6),,,×(6),,√(16),
202,KQJ,,×(4),,,×(14),,,,,×(2),,√(14),
203,吃手手,,,,,×(6),,×(3),,,,,√(22),
204,fff团的火焰永不熄灭！！！,,,,,×(24),×(3),,,,,,√(17),
205,五子良将,,×(9),,,×(43),,×(22),,,×(7),,√(40),
206,政管小分队,,×(8),×(3),,×(2),,√(34),,,,,×(7),
207,BZU oo00OO,,,,,,,,,,,,×(1),
208,没有名字的小分队,,,,,×(22),,,,,,,×(20),
209,打扰了,,×(40),,,,,,,,,,×(1),
210,Armour,,,,,,,×(3),,,,,×(2),
211,mozhu一日游,,,,,,,,,,,,×(27),
212,你都在槿∶字而,,×(14),,×(1),×(1),,×(5),,,×(2),,×(4),
213,草东没有派,,,,,×(2),,×(4),,,,,×(7),
214,我永远喜欢AC,,×(8),,,×(1),×(1),,,,×(1),,×(10),
215,littlefairy,,×(1),×(1),,×(4),,×(5),,,×(1),,×(33),
216,fghfghfgh,×(1),×(3),,,×(8),,×(1),,,,,,
217,小学生学习Java编程之旅,,×(3),,,×(9),,,,,×(4),,×(15),
218,皮一下很队,,×(1),,,×(2),,,,,,,×(10),
219,封魔录,,,,,,,×(2),,,,,,
220,菜的一批队,,×(3),,,,,,,,,,,
221,岂因祸福避趋之,,×(8),,,×(5),,,,,×(1),,×(10),
222,随便起一个队名,,×(3),,,×(7),,,,,,,,
223,superboy,,×(7),,,,,,,,×(10),,×(5),
224,圆滚滚,,,,,,,,,,,,×(13),
225,heracles,,,,,×(2),,,,,×(2),,×(6),
226,老实人战队,,×(2),,,,,,,,,,,
227,小学生は最高だぜ！,,×(5),,,×(4),,,,,×(1),,×(2),
228,没什么就是很水,,,,,,,×(2),,,,,×(5),
229,linux,,×(10),,,×(2),,×(5),,,,,×(6),×(1)
230,Godzilla,,×(4),,,×(5),,,,,×(1),,×(1),×(2)
231,周玉川,,×(5),,,,,,,,,,,
232,D2224,,,,,,,,,,,,×(2),
233,幼儿园小朋友的队,,×(4),,,,,,,,,,×(6),
234,黄huang,,×(1),,,,,,,,,,,
235,cfreee,,×(5),,,×(6),,×(4),,,×(1),,×(4),
236,myteam2017,,×(8),,,,,,,,,,,
237,清水寺和尚代表队,,×(5),,,,,,,,,,,
238,稻花香里说丰年,,,,,×(6),,,,,,,×(3),
239,interstellar,,×(1),×(1),,×(6),,,,,,,,
240,E140C64C743113F5,,,,,,,,,,,,×(14),
241,greenie,,,,,,,×(1),,,,,×(1),
242,common,,,,,,,,,,×(5),,×(2),
243,养了只猫,,×(9),,,,,,,,,,,
244,阿卡姆疯人院,,,,,,,,,,×(1),,×(2),
245,ST,,,,,,,,,,,,×(4),
246,性感三人在线编程,,×(6),,,×(5),,,,,×(4),×(1),×(5),×(2)
247,ACM idiots,,,,,×(11),,×(1),,,,,,
248,菜鸟队,,,,,,,,,,×(1),,×(1),
249,小咸鱼与TLE,,×(6),,,×(2),,,,,,,×(1),
250,信三男神康思丑,,×(8),,,×(2),,,,,×(8),,×(7),×(1)
251,Battle symphony,,,,,×(5),,,,,,×(3),×(5),
252,recursion,,×(17),,,×(4),×(1),,,,,,×(2),
253,11111111111111111,,×(8),,,,,,,,,,,
254,咸鱼队,,,,,×(2),,,,,×(1),,,
255,不知道叫什么team,,,,,×(4),×(3),×(12),,×(1),,×(5),×(8),
256,black knight,,×(3),,,,,,,,,,,
257,小猪佩奇,,×(1),,,,,,,,×(2),,,
258,把强迫症患者逼,,×(4),,,,,,,,×(2),,×(3),
259,ALWS,,×(9),,,,,,,,,,,
260,DSSQ,,×(10),,,,,,,,,,,
261,失礼します,,,,,×(1),,,,,×(10),,,
262,凉凉,,×(5),,,,,,,,,,,
263,只想过一题,,×(8),,,,,,,,,,,
264,毅妈妈的小粉丝们,,×(4),×(1),×(2),×(1),,×(1),,,,,,
265,小猪猡,,×(10),,,,,,,,,,×(2),
266,碱基互补配队,,,,,,,,,,,,×(5),
267,请闭眼,,,,,,×(1),×(1),,,,,×(3),
268,努力努力再努力,,×(2),,,,,,,,,,,
269,ACM_三男神队,,×(1),,,×(1),,×(1),,,,,,
270,超级无敌小菜鸡,,,,,,,×(2),,,,,,
